name,population,latitude,longitude,state,country,percentageOfSessions
Kurgak-Kôl,6251,40.88349,72.909427,Žalal-Abad,Kyrgyzstan,
Orto-Saj,6243,42.8040675,74.5929158,Biškek City,Kyrgyzstan,
Mihajlovka,6242,41.100986,73.231893,Žalal-Abad,Kyrgyzstan,
Pravda,6240,40.69466,73.11865,Oš,Kyrgyzstan,
Bajzak,6205,41.99435,74.584009,Naryn,Kyrgyzstan,
Baš-Bulak,6160,40.51178,72.96544,Oš,Kyrgyzstan,
Sosnovka,6139,42.669,73.9062,Čùj,Kyrgyzstan,
Katta-Tal,6110,40.248124,72.541646,Oš,Kyrgyzstan,
Ôzgôrùš,6043,42.526526,72.037195,Talas,Kyrgyzstan,
Šoro-Bašat,6033,40.846353,73.27428,Oš,Kyrgyzstan,
Bešik-Žon,6026,41.048162,72.794294,Žalal-Abad,Kyrgyzstan,
Aral,6010,40.855372,72.693669,Žalal-Abad,Kyrgyzstan,
Žijdalik,5991,40.567,72.78811,Oš,Kyrgyzstan,
Šeraly,5979,40.745903,73.278478,Oš,Kyrgyzstan,
Komsomol,5925,41.085192,73.194136,Žalal-Abad,Kyrgyzstan,
Žijde,5916,40.296177,72.437193,Oš,Kyrgyzstan,
Kùn-Tuu,5895,42.805278,74.448611,Čùj,Kyrgyzstan,
Žar-Kyštak,5875,40.896348,72.956019,Žalal-Abad,Kyrgyzstan,
Fedorov,5855,40.258457,72.788008,Oš,Kyrgyzstan,
Nojgut,5826,40.242612,72.606366,Oš,Kyrgyzstan,
Birinči Maj,5786,41.093555,72.7616,Žalal-Abad,Kyrgyzstan,
VLKSM,5761,40.58768,72.76062,Oš,Kyrgyzstan,
Kôk-Oj,5760,42.549641,72.198724,Talas,Kyrgyzstan,
Čarbak,5726,41.252152,72.996937,Žalal-Abad,Kyrgyzstan,
Žan̦y-Nookat,5720,40.256635,72.556432,Oš,Kyrgyzstan,
Kyrgyz-Kyštak,5674,40.30842,71.34913,Batken,Kyrgyzstan,
Medrese,5617,40.53004,72.83752,Oš,Kyrgyzstan,
Kôpùrô-Bazar,5617,42.480673,72.957798,Talas,Kyrgyzstan,
Grigorʹevka,5592,42.71889,77.48786,Ycyk-Kôl,Kyrgyzstan,
Milânfan,5562,42.96462,74.78552,Čùj,Kyrgyzstan,
Žan̦y-Aryk,5493,41.049335,72.324302,Žalal-Abad,Kyrgyzstan,
Vostok,5461,42.90464,74.67459,Čùj,Kyrgyzstan,
Kožoke,5440,40.230643,72.804242,Oš,Kyrgyzstan,
Frunze,5430,42.9185232,74.4325782,Čùj,Kyrgyzstan,
Sary-Talaa,5423,41.430821,71.491301,Žalal-Abad,Kyrgyzstan,
Ak-Tam,5421,41.467104,71.606244,Žalal-Abad,Kyrgyzstan,
Kyzyl-Aj,5390,41.001633,72.687137,Žalal-Abad,Kyrgyzstan,
Žylkeldi,5355,40.65683,72.86618,Oš,Kyrgyzstan,
Poltavka,5341,42.8474,73.95842,Čùj,Kyrgyzstan,
Boston,5332,40.259778,72.596087,Oš,Kyrgyzstan,
Kožo-Aryk,5324,40.247563,72.321852,Oš,Kyrgyzstan,
Ača-Kajyn̦dy,5315,41.141281,75.810336,Naryn,Kyrgyzstan,
Sary-Mogol,5312,39.673,72.889125,Oš,Kyrgyzstan,
Aral,5308,42.535646,72.656853,Talas,Kyrgyzstan,
Kara-Suu,5284,41.127836,75.678675,Naryn,Kyrgyzstan,
Dimitrovka,5279,40.917762,72.982713,Žalal-Abad,Kyrgyzstan,
Kôk-Saj,5174,42.506435,71.123821,Talas,Kyrgyzstan,
Ak-Žar,5162,41.173947,75.788899,Naryn,Kyrgyzstan,
Borbaš,5159,40.282551,72.384613,Oš,Kyrgyzstan,
Kommunizm,5132,40.08635,69.56964,Batken,Kyrgyzstan,
Lûksemburg,5123,42.88738,74.82368,Čùj,Kyrgyzstan,
Imam-Ata,5108,40.52074,72.82058,Oš,Kyrgyzstan,
Ûrʹevka,5081,42.720556,75.028889,Čùj,Kyrgyzstan,
Sakaldy,5078,40.988606,72.544518,Žalal-Abad,Kyrgyzstan,
Dôn̦-Kyštak,5074,40.250187,72.56474,Oš,Kyrgyzstan,
Čan̦gyr-Taš,5070,40.866145,72.767696,Žalal-Abad,Kyrgyzstan,
Učar,5066,40.48924,72.78971,Oš,Kyrgyzstan,
Manas,5042,42.99981,74.43752,Čùj,Kyrgyzstan,
Komintern,5036,41.038305,72.607,Žalal-Abad,Kyrgyzstan,
Kara-Oj,5029,42.63608,77.01763,Ycyk-Kôl,Kyrgyzstan,
Kuldu,5018,40.05443,71.65253,Batken,Kyrgyzstan,
Yntymak,4984,40.973494,72.994958,Žalal-Abad,Kyrgyzstan,
Monok,4977,40.6284,72.78636,Oš,Kyrgyzstan,
Borko,4976,40.223062,72.664014,Oš,Kyrgyzstan,
Ak-Taš,4966,40.66896,72.81502,Oš,Kyrgyzstan,
Ak-Žol,4965,42.94278,74.48611,Čùj,Kyrgyzstan,
