name,population,latitude,longitude,state,country,percentageOfSessions,,,,
Infantado,7803,38.83645285,-9.155377663,,Portugal,,,,,
Cidade Nova,7741,38.81455605,-9.166880153,,Portugal,,,,,
Costa da Caparica,7632,38.63504263,-9.22563107,,Portugal,,,,,
Serzedo,7603,41.04973936,-8.61068165,,Portugal,,,,,
Freamunde,7557,41.28875141,-8.341308501,,Portugal,,,,,
Algés,7548,38.7014123,-9.230497457,,Portugal,,,,,
Loures,7533,38.82969074,-9.16913452,,Portugal,,,,,
Raposo,7533,38.67238195,-9.190529474,,Portugal,,,,,
Fundão,7467,40.13926347,-7.499411327,,Portugal,,,,,
Santo António dos Cavaleiros,7435,38.81277724,-9.160908552,,Portugal,,,,,
Alhandra,7415,38.92563,-9.010031921,,Portugal,,,,,
São Domingos de Rana,7384,38.70980941,-9.337207174,,Portugal,,,,,
Lousã,7344,40.11507295,-8.244667585,,Portugal,,,,,
Belas,7328,38.77917139,-9.263360062,,Portugal,,,,,
Vila de Cucujães,7328,40.87526697,-8.501980466,,Portugal,,,,,
Mozelos,7297,40.99710102,-8.565260449,,Portugal,,,,,
Ponte de Sor,7280,39.25422699,-8.017085457,,Portugal,,,,,
Catujal,7202,38.81440133,-9.118891648,,Portugal,,,,,
Fiães,7096,40.9857848,-8.522205543,,Portugal,,,,,
Foros de Amora,7078,38.61135275,-9.12989707,,Portugal,,,,,
Moura,7064,38.13922749,-7.449223756,,Portugal,,,,,
Quintinhas,7030,38.60920718,-9.181816568,,Portugal,,,,,
Campo Maior,6925,39.01555428,-7.067744025,,Portugal,,,,,
Gandra,6874,41.18901651,-8.437039198,,Portugal,,,,,
Bom Sucesso,6829,38.90415404,-9.044999624,,Portugal,,,,,
Arruda dos Vinhos,6798,38.98756403,-9.079019828,,Portugal,,,,,
Malveira,6789,38.93127434,-9.256417051,,Portugal,,,,,
Amares,6692,41.62759384,-8.354248634,,Portugal,,,,,
Caneças,6688,38.81532218,-9.222470659,,Portugal,,,,,
Ponte,6687,41.46934557,-8.33684451,,Portugal,,,,,
Estremoz,6635,38.8447182,-7.58345403,,Portugal,,,,,
Grândola,6607,38.17771111,-8.561865986,,Portugal,,,,,
Valença,6601,42.02364457,-8.634415215,,Portugal,,,,,
Quinta do Anjo,6599,38.57129611,-8.946903445,,Portugal,,,,,
Vertente Sul,6565,38.77838361,-9.186470579,,Portugal,,,,,
Vale Figueira,6559,38.6374495,-9.176830093,,Portugal,,,,,
Azambuja,6551,39.07238576,-8.871674147,,Portugal,,,,,
Silves,6344,37.19179047,-8.44020259,,Portugal,,,,,
Castanheira do Ribatejo,6313,38.99417298,-8.967026446,,Portugal,,,,,
Arrifana,6311,40.91107107,-8.504929583,,Portugal,,,,,
