name,population,latitude,longitude,state,country,status
Wieselburg,4458,48.1286025,15.1386275,Niederösterreich,Austria,
Kössen,4455,47.6686807,12.404144,Tirol,Austria,
Wolkersdorf im Weinviertel,4391,48.3845561,16.5149128,Niederösterreich,Austria,
Ferlach,4359,46.5268799,14.298923,Kärnten,Austria,
Nenzing,4346,47.1877669,9.7072924,Vorarlberg,Austria,
Thalheim bei Wels,4340,48.1495024,14.0347461,Oberösterreich,Austria,
Altheim,4339,48.25128,13.23375,Oberösterreich,Austria,
Bärnbach,4339,47.0770947,15.1242042,Steiermark,Austria,
Braunau am Inn,4308,48.25573,13.04432,Oberösterreich,Austria,
Zeltweg,4303,47.1898236,14.7523616,Steiermark,Austria,
Ybbs an der Donau,4290,48.1764209,15.0820859,Niederösterreich,Austria,
Hartberg,4282,47.2815,15.97302,Steiermark,Austria,
Walding,4273,48.351608,14.1596644,Oberösterreich,Austria,
Eferding,4271,48.30879,14.02023,Oberösterreich,Austria,
Spielberg,4239,47.2085616,14.7996235,Steiermark,Austria,
Bisamberg,4208,48.3316056,16.3615187,Niederösterreich,Austria,
Bad Schallerbach,4199,48.2313123,13.9200651,Oberösterreich,Austria,
Enzesfeld-Lindabrunn,4188,47.91853,16.18322,Niederösterreich,Austria,
Oberalm,4186,47.7002568,13.0968491,Salzburg,Austria,
Thaur,4178,47.2927127,11.4755,Tirol,Austria,
Köflach,4175,47.0618805,15.0820675,Steiermark,Austria,
Kundl,4143,47.469849,11.9857169,Tirol,Austria,
Mäder,4143,47.3492987,9.6193474,Vorarlberg,Austria,
Scheibbs,4130,48.00804,15.16781,Niederösterreich,Austria,
Sierning,4122,48.0440642,14.3082791,Oberösterreich,Austria,
Sankt Georgen an der Gusen,4120,48.2717714,14.4497797,Oberösterreich,Austria,
Götzens,4119,47.2361049,11.3114017,Tirol,Austria,
Obertrum am See,4115,47.9370281,13.0755418,Salzburg,Austria,
Gunskirchen,4109,48.1335856,13.9529613,Oberösterreich,Austria,
Puch bei Hallein,4088,47.7187573,13.0932375,Salzburg,Austria,
Waidhofen an der Thaya,4087,48.81547,15.2833,Niederösterreich,Austria,
Mondsee,4080,47.855591,13.3434218,Oberösterreich,Austria,
Ebensee,4038,47.7878316,13.75783,Oberösterreich,Austria,
Straßwalchen,4024,47.9805349,13.254998,Salzburg,Austria,
Bramberg am Wildkogel,4000,47.2856937,12.2976376,Salzburg,Austria,
Schruns,3976,47.0800395,9.9198776,Vorarlberg,Austria,
Gumpoldskirchen,3968,48.0455089,16.2764963,Niederösterreich,Austria,
Gols,3960,47.8990111,16.9093319,Burgenland,Austria,
Theresienfeld,3941,47.8595305,16.2472644,Niederösterreich,Austria,
Melk,3937,48.22647,15.34996,Niederösterreich,Austria,
Schwarzach,3934,47.4485855,9.7625936,Vorarlberg,Austria,
Fußach,3928,47.4742507,9.6599738,Vorarlberg,Austria,
Sankt Veit im Pongau,3896,47.3303714,13.1543556,Salzburg,Austria,
Bad Gastein,3894,47.1140887,13.132661,Salzburg,Austria,
Schwertberg,3875,48.2701488,14.5764651,Oberösterreich,Austria,
Taxach,3849,47.72526,13.07196,Salzburg,Austria,
