name,population,state,country,percentageOfSessions,latitude,longitude
Saumalköl,11898,Soltustık Qazaqstan,Kazakhstan,null,53.2940231,68.1060457
Sarymoldaev,11556,Jambyl,Kazakhstan,null,42.871155,73.232849
Esıl,11484,Aqmola,Kazakhstan,null,51.9601511,66.4088826
Qūryq,11466,Mañğystau,Kazakhstan,null,43.176664,51.6796799
Tereñözek,11437,Qyzylorda,Kazakhstan,null,45.0483776,64.9840901
Qyzyljarma,11274,Qyzylorda,Kazakhstan,null,44.893051,65.465462
Töretam,11004,Qyzylorda,Kazakhstan,null,45.650665,63.315601
Bäiterek,10996,Almaty,Kazakhstan,null,43.4022167,77.2235637
Tülkıbas,10973,Turkıstan,Kazakhstan,null,42.488754,70.286255
Qarabalyq,10966,Qostanai,Kazakhstan,null,53.748184,62.062511
Erkınqala,10939,Atyrau,Kazakhstan,null,47.0257106,51.8028116
Priozer,10909,Qarağandy,Kazakhstan,null,46.031532,73.690071
Qarauylkeldı,10887,Aqtöbe,Kazakhstan,null,48.6935886,55.8772348
Lugovoe,10872,Jambyl,Kazakhstan,null,42.9408033,72.7598564
Sekseuıl,10870,Qyzylorda,Kazakhstan,null,47.0829138,61.1530438
Äulieköl,10857,Qostanai,Kazakhstan,null,52.361904,64.133171
Qalbatau,10759,Şyğys Qazaqstan,Kazakhstan,null,49.330227,81.570709
Zaretşnyi,10703,Qostanai,Kazakhstan,null,53.2351407,63.7377873
Mahambet,10685,Atyrau,Kazakhstan,null,47.675577,51.5865434
Märtök,10679,Aqtöbe,Kazakhstan,null,50.7443222,56.4995791
Glubokoe,10677,Şyğys Qazaqstan,Kazakhstan,null,50.1438305,82.3169517
Pavlodarskoe,10613,Pavlodar,Kazakhstan,null,52.3881139,76.8613965
Tşapaevo,10550,Almaty,Kazakhstan,null,43.4701355,76.8055512
Köktal,10500,Almaty,Kazakhstan,null,44.137226,79.812553
Bäidıbek Bi,10444,Almaty,Kazakhstan,null,43.512241,77.692787
Köksai,10439,Almaty,Kazakhstan,null,43.259354,76.775635
Kurtşatov,10411,Şyğys Qazaqstan,Kazakhstan,null,50.7565343,78.5486736
Ötenai,10262,Almaty,Kazakhstan,null,45.01017,78.3182023
Kölkent,10223,Turkıstan,Kazakhstan,null,42.5385933,69.6637344
Qaşar,10195,Qostanai,Kazakhstan,null,53.369434,62.869267
Şäuıldır,10195,Turkıstan,Kazakhstan,null,42.778601,68.372741
Däulet,10135,Mañğystau,Kazakhstan,null,43.692368,51.321125
Maqambetov,10100,Qyzylorda,Kazakhstan,null,44.764992,65.481812
Jansügırov,10024,Almaty,Kazakhstan,null,45.398308,79.508598
Jalpaqtöbe,9833,Jambyl,Kazakhstan,null,42.8561604,71.4396513
Şaian,9814,Turkıstan,Kazakhstan,null,43.032307,69.380745
Qaraötkel,9804,Aqmola,Kazakhstan,null,51.1230405,71.2127745
Mejduretşenskoe,9772,Almaty,Kazakhstan,null,43.458656,76.7271089
Aqadyr,9756,Qarağandy,Kazakhstan,null,48.259068,72.854958
Tşapaev,9642,Batys Qazaqstan,Kazakhstan,null,50.1878581,51.1716191
