state,name,population,latitude,longitude,country,percentageOfSessions
Gelderland,Druten,12945,51.8901006,5.6073737,Netherlands,
Noord-Brabant,Heesch,12910,51.7351851,5.5290863,Netherlands,
Zuid-Holland,De Lier,12835,51.9748495,4.249713,Netherlands,
Noord-Brabant,Made,12825,51.673419,4.7874232,Netherlands,
Overijssel,IJsselmuiden,12755,52.5672853,5.9298811,Netherlands,
Noord-Brabant,Asten,12740,51.4043544,5.7470501,Netherlands,
Gelderland,Vaassen,12720,52.2895485,5.9678841,Netherlands,
Noord-Holland,Bergen,12710,52.6699619,4.7015675,Netherlands,
Gelderland,Elburg,12625,52.4484456,5.8339034,Netherlands,
Noord-Brabant,Raamsdonksveer,12580,51.6932766,4.8736791,Netherlands,
Noord-Brabant,Boxmeer,12550,51.6487922,5.9529031,Netherlands,
Gelderland,Lochem,12530,52.1614338,6.415327,Netherlands,
Noord-Holland,Blaricum,12485,52.2698767,5.241354,Netherlands,
Noord-Brabant,Halsteren,12485,51.527403,4.2690213,Netherlands,
Zuid-Holland,Rozenburg,12465,51.9074448,4.2435604,Netherlands,
Noord-Brabant,Prinsenbeek,12330,51.5988105,4.7161894,Netherlands,
Gelderland,Wezep,12290,52.4565494,5.9987728,Netherlands,
Overijssel,Goor,12250,52.2336241,6.5854403,Netherlands,
Noord-Holland,Wormerveer,12145,52.4969091,4.7852343,Netherlands,
Gelderland,Didam,12055,51.935187,6.1321373,Netherlands,
Zeeland,Zierikzee,12025,51.6503128,3.9186425,Netherlands,
Noord-Brabant,Sint-Oedenrode,11995,51.5650719,5.4592694,Netherlands,
Gelderland,Voorthuizen,11850,52.1865639,5.6086327,Netherlands,
Zuid-Holland,Bleiswijk,11820,52.0098709,4.5330557,Netherlands,
Groningen,Leek,11785,53.164152,6.383376,Netherlands,
Overijssel,Ommen,11720,52.5189448,6.4214567,Netherlands,
Gelderland,Bemmel,11715,51.8903852,5.8977884,Netherlands,
Noord-Holland,Laren,11705,52.2570168,5.2249417,Netherlands,
Gelderland,Hattem,11570,52.4744286,6.0688666,Netherlands,
Noord-Brabant,Someren,11540,51.3818607,5.7141282,Netherlands,
Noord-Brabant,Sprang-Capelle,11450,51.6676126,5.0464693,Netherlands,
Gelderland,Oosterbeek,11415,51.9903443,5.8431292,Netherlands,
Noord-Brabant,Werkendam,11325,51.8154037,4.8965836,Netherlands,
Utrecht,Rhenen,11320,51.9577331,5.5659864,Netherlands,
Limburg,Waubach,11290,50.9176613,6.0618343,Netherlands,
Overijssel,Dedemsvaart,11235,52.6045515,6.4639066,Netherlands,
Noord-Brabant,Steenbergen,11235,51.5864333,4.3192009,Netherlands,
Noord-Holland,Koog aan de Zaan,11225,52.4637044,4.8100138,Netherlands,
Noord-Brabant,Mierlo,11120,51.4434135,5.6205131,Netherlands,
Gelderland,Doesburg,11075,52.0137777,6.134605,Netherlands,
Zeeland,Hulst,11020,51.2808113,4.0534073,Netherlands,
Gelderland,Geldermalsen,11015,51.8843332,5.2955766,Netherlands,
Limburg,Reuver,11015,51.2845305,6.0673954,Netherlands,
Drenthe,Klazienaveen,11005,52.7292019,6.9831289,Netherlands,
Noord-Brabant,Beek en Donk,10985,51.5292541,5.6293919,Netherlands,
Utrecht,De Bilt,10885,52.1107161,5.1772707,Netherlands,
Groningen,Appingedam,10755,53.3206591,6.8576644,Netherlands,
Gelderland,Malden,10740,51.7830768,5.8589188,Netherlands,
Zuid-Holland,Roelofarendsveen,10735,52.1928404,4.6300195,Netherlands,
Noord-Brabant,Bladel,10710,51.3677554,5.216932,Netherlands,
Noord-Brabant,Aalst,10620,51.3919488,5.4718629,Netherlands,
Noord-Brabant,Berghem,10610,51.7661415,5.578246,Netherlands,
Gelderland,Ulft,10570,51.889828,6.3854446,Netherlands,
Gelderland,Heerde,10565,52.387898,6.0397033,Netherlands,
Noord-Holland,Landsmeer,10410,52.4327252,4.9202361,Netherlands,
Gelderland,Scherpenzeel,10390,52.0809284,5.4845012,Netherlands,
Fryslân,Lemmer,10370,52.8476107,5.6892828,Netherlands,
Limburg,Stein,10345,50.9694457,5.7754062,Netherlands,
Drenthe,Beilen,10315,52.8632926,6.5153103,Netherlands,
Noord-Holland,Bovenkarspel,10315,52.6967625,5.2346696,Netherlands,
Noord-Brabant,De Groote Wielen,10240,51.7374511,5.3559843,Netherlands,
Zeeland,Oost-Souburg,10160,51.4638993,3.599146,Netherlands,
Noord-Brabant,Heeze,10125,51.3826815,5.5729025,Netherlands,
Fryslân,Bolsward,10120,53.0628415,5.5233281,Netherlands,
Fryslân,Burgum,9955,53.1942589,5.9913967,Netherlands,
Gelderland,Eerbeek,9955,52.1052079,6.0672874,Netherlands,
Gelderland,Groenlo,9940,52.0416964,6.6162186,Netherlands,
Utrecht,Breukelen,9930,52.1736612,4.9991541,Netherlands,
Gelderland,Lunteren,9905,52.0817051,5.6189891,Netherlands,
Noord-Brabant,Sint-Michielsgestel,9890,51.6445008,5.3510315,Netherlands,
Overijssel,Genemuiden,9835,52.6241891,6.0396961,Netherlands,
Fryslân,Oosterwolde,9830,52.9888142,6.2932937,Netherlands,
Gelderland,Hoevelaken,9825,52.170969,5.4761125,Netherlands,
Noord-Brabant,Oirschot,9730,51.5054528,5.3062863,Netherlands,
Utrecht,Doorn,9645,52.0385962,5.3449266,Netherlands,
Utrecht,Hoogland,9635,52.1814268,5.3775304,Netherlands,
Utrecht,Eemnes,9595,52.251279,5.2639289,Netherlands,
Noord-Brabant,Eersel,9580,51.3606351,5.3112311,Netherlands,
Noord-Holland,Oud Grootebroek,9575,52.6972222,5.2190404,Netherlands,
Noord-Brabant,Sint Willebrord,9555,51.5500292,4.5880342,Netherlands,
Zuid-Holland,Neiuwkoop,9520,52.1499517,4.7726021,Netherlands,
Gelderland,Eibergen,9515,52.1027504,6.6471734,Netherlands,
Noord-Holland,Monnickendam,9450,52.4594745,5.0416537,Netherlands,
Zuid-Holland,Numansdorp,9450,51.7338226,4.4386757,Netherlands,
Limburg,Gennep,9450,51.697451,5.9754327,Netherlands,
Noord-Brabant,Dommelen,9440,51.34492,5.4316204,Netherlands,
Noord-Brabant,Hoogerheide,9435,51.4236129,4.3263826,Netherlands,
Zeeland,Kapelle,9415,51.4799826,3.9640707,Netherlands,
Overijssel,Dalfsen,9375,52.504113,6.2580314,Netherlands,
Zuid-Holland,Zevenhuizen,9270,52.0115287,4.5815588,Netherlands,
Noord-Holland,Kudelstaart,9225,52.2370201,4.7398522,Netherlands,
Gelderland,Renkum,9210,51.9734968,5.7318218,Netherlands,
Zuid-Holland,Rhoon,9195,51.8571534,4.4174887,Netherlands,
Overijssel,Denekamp,9130,52.3749772,7.0047482,Netherlands,
Overijssel,Staphorst,9125,52.6474043,6.2120309,Netherlands,
Zuid-Holland,s-Gravendeel,9075,51.7789939,4.6158009,Netherlands,
Zuid-Holland,Delfgauw,9045,52.0097554,4.3963792,Netherlands,
Zuid-Holland,Moordrecht,9010,51.9856418,4.6690259,Netherlands,
Limburg,Echt,8940,51.1022852,5.8716876,Netherlands,
Noord-Holland,Ouderkerk aan de Amstel,8895,52.2962212,4.9105131,Netherlands,
Zuid-Holland,Poortugaal,8860,51.8561266,4.3894071,Netherlands,
Gelderland,'s-Heerenberg,8795,51.875118,6.2460391,Netherlands,
Groningen,Bedum,8750,53.2954853,6.601418,Netherlands,
Noord-Brabant,Teteringen,8735,51.6084619,4.8204662,Netherlands,
Noord-Holland,Medemblik,8680,52.7716711,5.1070943,Netherlands,
Noord-Brabant,Hof,8675,51.3216124,5.3580001,Netherlands,
Zuid-Holland,Nieuw-Lekkerland,8665,51.8875936,4.6843979,Netherlands,
Noord-Brabant,Grave,8625,51.758828,5.7389827,Netherlands,
Noord-Holland,Hoogkarspel,8605,52.6931432,5.1706152,Netherlands,
Noord-Brabant,Zundert,8555,51.4701926,4.6588604,Netherlands,
Noord-Brabant,Hilvarenbeek,8490,51.4872081,5.1361344,Netherlands,
Noord-Holland,Zaandijk,8480,52.4753655,4.8093397,Netherlands,
Groningen,Zuidhorn,8470,53.2468803,6.400406,Netherlands,
Gelderland,Neede,8465,52.1332113,6.6117525,Netherlands,
Noord-Brabant,Udenhout,8460,51.6066765,5.1431139,Netherlands,
Overijssel,Vroomshoop,8455,52.4590813,6.5567753,Netherlands,
Noord-Brabant,Gilze,8455,51.5439696,4.9417656,Netherlands,
Limburg,Eijsden,8435,50.7686011,5.699367,Netherlands,
Noord-Brabant,Berlicum,8390,51.6809592,5.3987906,Netherlands,
Noord-Brabant,Boekel,8375,51.6024443,5.67503,Netherlands,
Zeeland,Tholen,8365,51.5373401,4.219475,Netherlands,
Limburg,Beek,8360,50.9411118,5.7994908,Netherlands,
Utrecht,Abcoude,8300,52.2699627,4.9685001,Netherlands,
Zuid-Holland,Den Hoorn,8260,52.0036155,4.323547,Netherlands,
Groningen,Compagniesterpark,8235,53.1616742,6.7909983,Netherlands,
Noord-Holland,Anna Paulowna,8170,52.8572985,4.8242532,Netherlands,
Gelderland,Kerkdriel,8085,51.7702728,5.3348479,Netherlands,
Utrecht,Montfoort,8065,52.0424049,4.9472587,Netherlands,
Noord-Holland,Zwanenburg,8030,52.3783047,4.7420468,Netherlands,
Zuid-Holland,Bolnes,7945,51.889444,4.5804329,Netherlands,
Noord-Brabant,Budel,7930,51.2705062,5.5740188,Netherlands,
Zuid-Holland,Reeuwijk,7920,52.0479207,4.7203558,Netherlands,
Noord-Brabant,Reusel,7905,51.3620244,5.1638865,Netherlands,
Utrecht,Harmelen,7875,52.0874293,4.9614825,Netherlands,
Zeeland,Axel,7875,51.2662026,3.9098537,Netherlands,
Noord-Holland,Oostzaan,7860,52.4390316,4.8780017,Netherlands,
Gelderland,Borculo,7845,52.1140839,6.5214923,Netherlands,
Groningen,Oude Pekela,7840,53.0954907,7.0060165,Netherlands,
Fryslân,Stiens,7830,53.2609324,5.7644131,Netherlands,
Zuid-Holland,Honselersdijk,7775,52.0068137,4.2263255,Netherlands,
Zuid-Holland,Strijen,7775,51.7453735,4.5529211,Netherlands,
Noord-Holland,Limmen,7745,52.5701581,4.6954126,Netherlands,
Utrecht,Oudewater,7745,52.0224856,4.8718879,Netherlands,
