Name,Latitude,Longitude,Population
Miraflores,8.6322612,-80.2787763,799
Palmarito,8.8281306,-82.8223426,797
Potuga,8.0675456,-80.6209111,795
Calobre,8.3196961,-80.8401188,795
Miraflores,8.8401528,-82.8429893,786
Isla Tigre o Mamartupu,9.4323695,-78.5218894,784
Rincon de las Palmas,8.5552823,-80.2514749,781
Barriada Las Perlas,8.1376297,-80.9595243,778
El Gago o Puerto El Gago,8.3696765,-80.4270037,776
Churube Abajo,8.4007394,-80.5453423,774
Dos Rios Arriba,8.5554807,-82.3986579,773
Finca 62,9.4484289,-82.4855085,772
Montilla,8.4613315,-82.4774419,772
Tikantiki o Niatupo o Isla del Diablo,9.4228508,-78.4810947,772
Sesteadero,7.7451727,-80.2514127,771
Burica Sur,8.3855084,-82.9089475,768
Rincon Largo,7.9454968,-81.0648461,767
Orillas del Rio,8.3611848,-82.5079149,762
Canaza,8.8755311,-82.1766472,760
Norteno,9.007839,-82.3161261,760
Barriada Los Pinos,9.1646448,-79.5517226,759
Cerro Tigre,8.940786,-79.7090266,758
La Raya de Santa Maria,8.167325,-80.8189343,757
San Miguel del Yuco,8.5535697,-82.626858,756
Jaramillo Arriba,8.7829628,-82.4207522,753
Sasardi,8.9438902,-77.7527537,748
Canacillas Via Aeropuerto,8.0946544,-80.9385248,745
Portachuelo,8.4738183,-82.4208669,743
Santa Marta,8.6531147,-80.5589674,742
La Colorada,8.9907635,-79.9146622,742
Pueblo Nuevo,8.3917162,-80.2047764,741
Bastimentos,9.3487298,-82.209977,738
Isla Carenero,9.3433094,-82.2338989,737
Salitrosa,8.2062524,-80.6349714,729
Mendoza,9.009087,-79.8493795,729
El Real de Santa Maria,8.1090783,-77.7324408,728
Aguas Claras o Icanti,9.2172244,-78.6937563,724
Pueblo Nuevo,8.1513442,-77.6918988,723
Taboga,8.7923742,-79.5572528,722
Loma de San Pedro,8.4311741,-82.5531773,719
Mariato o Llano de Catival,7.6460181,-80.9904588,716
Monte Lirio,8.8012953,-82.8189655,715
Tres Quebradas,7.8446444,-80.4024687,715
Aguacaton,8.3495444,-82.8010363,711
Trinidad de las Minas,8.7776782,-79.9927113,711
Ipeti Kuna,8.98535,-78.5029453,711
Cerro Iglesia 2,8.3042556,-81.7938151,711
Agua Buena,8.3002371,-82.8734445,710
Alto Lino,8.8022016,-82.4348745,706
Chorrillo,9.0862945,-80.050384,705
Villa Limon,9.2932037,-79.7858663,705
Villa Alondra,9.3888181,-79.7821712,705
Llano Sanchez,8.1990719,-80.7043002,702
Machuca,8.6256129,-80.5460924,702
Jaramillo Centro,8.7701002,-82.423175,702
Nueva Jerusalen,8.978376,-79.6778293,701
Nuevo Paraiso,9.2769981,-82.4126442,699
Barriada San Jose,9.3327149,-79.8061588,699
Cabuya,8.5764694,-79.9233023,699
San Carlitos,8.4885309,-82.4541666,698
Puente de San San,9.4694717,-82.5401459,695
Las Delicias,8.5444034,-80.3669555,693
San Bartolo Linea,8.3245229,-82.879424,693
Campana,8.7196403,-79.8902923,693
Tribique,7.9927884,-81.3171808,693
Rincon,8.4671023,-82.281508,692
El Puerto,8.2162175,-81.8110408,692
La Meseta,8.5569965,-82.5929077,691
Porton,8.5636492,-82.7892818,689
Los Hatillos,7.9350295,-80.5461135,687
El Bongo,7.9485831,-81.0483755,686
Puerto Indio,8.0199019,-78.2042172,686
San Jose,8.3550904,-81.0403441,680
Union Choco,8.1020528,-77.6049907,679
Rio Rita Arriba,9.3159101,-79.7887841,678
Agua Fria 2,8.8177862,-78.1870237,678
San Pedro,8.725815,-80.2219574,677
El Nance,8.4709189,-79.9658087,677
Pajonal Abajo,8.5867363,-80.2467582,676
Finca 2,9.4128021,-82.480839,675
Jobo Dulce,7.9073896,-80.4324737,675
El Pedernal,8.1435749,-80.7859317,675
Las  Mercedes,8.4016537,-78.1452889,671
Cerro Pelado o Jugrig,8.1618115,-81.5456193,667
El Roble,8.5102806,-82.7750999,666
San Pablo Viejo Arriba,8.4800152,-82.5052674,666
San Francisco,8.6365029,-82.7313845,665
Nuevo Paraiso,9.2770354,-79.6315303,663
La Soledad,8.1417903,-80.9933528,663
El Flor,8.5694725,-82.4369786,660
El Porvenir,8.2330054,-81.8331187,659
San Vicente,8.5873045,-82.6352966,656
Exquisito,8.5362129,-82.7706067,655
Santo Tomas,8.3946081,-82.6482042,653
Sambu,8.0258602,-78.2094532,653
Canazas,8.910447,-78.2361429,653
Boca de Jebay,8.4817536,-82.0886705,653
Juan Gil,9.1797593,-79.2554931,652
El Limon,9.2567619,-79.8127868,651
Piedra Candela,8.879501,-82.7668485,648
El Santo,8.5715215,-82.678186,647
Pueblo Nuevo,8.3006368,-82.0997782,647
Finca 52,9.4997986,-82.6083532,645
Tavidal Arriba,8.6746576,-80.1726328,643
San Juan del Tejal,8.4874595,-82.4912388,641
Hato Chami,8.4470375,-81.7686475,641
El Frances Arriba,8.6169274,-82.4174341,640
Cerro Ortiga,8.3400393,-81.7760733,638
Chupampa,8.0822466,-80.7767438,637
Armila,8.6626931,-77.4514141,637
El Cacao,8.7563062,-80.0105988,636
Deborah,9.5167049,-82.5935173,635
Cerro Campana,8.710435,-79.9043663,635
Finca 1,9.4080543,-82.4949145,634
Llano Grande 1,8.440185,-80.1833864,634
El Higueron,8.4973089,-82.2861262,631
La Mata,8.083904,-80.8843162,631
Cerro El Castillo,8.9610503,-79.6787578,630
Canita,9.2223602,-78.8950875,629
Silimin,8.2884444,-81.8754558,626
Las Guabas,8.3864714,-80.445522,625
El Espino,8.1987878,-80.9604708,620
Quebrada Guabo,8.3291943,-81.8319203,619
Los Olivos,7.9180617,-80.4893418,618
Monte Claro,8.9287405,-79.6683083,618
Dos Rios,8.5326021,-82.3842565,617
Lajero Arriba,8.2905149,-81.767661,617
Angostura de Cochea Arriba,8.5498119,-82.3818271,615
